replication_no,time,id,prev_WaitTime,curr_WaitTime,
1,30.460926,13,0.000000,0.000000,
1,69.958772,21,0.000000,0.000000,
1,73.926253,12,0.000000,0.000000,
1,89.036348,31,0.000000,0.000000,
1,104.467602,19,7.713225,7.713225,
1,108.659646,33,0.000000,0.000000,
1,117.371847,24,12.737261,12.737261,
1,132.416647,27,21.295461,21.295461,
1,134.049697,29,17.631797,17.631797,
1,134.281484,42,0.000000,0.000000,
1,145.525051,46,0.000000,0.000000,
1,146.484142,28,26.016103,26.016103,
1,148.881104,43,0.000000,0.000000,
1,150.350132,45,0.000000,0.000000,
1,161.580843,18,30.263277,30.263277,
1,162.853840,16,48.032236,48.032236,
1,171.607889,15,33.910627,33.910627,
1,177.603636,63,0.000000,0.000000,
1,189.363543,35,36.354109,36.354109,
1,193.991783,37,37.443869,37.443869,
1,195.063308,64,0.000000,0.000000,
1,204.645710,69,0.000000,0.000000,
1,216.760869,41,43.421986,43.421986,
1,222.428618,76,0.000000,0.000000,
1,230.956856,83,0.000000,0.000000,
1,232.634198,48,47.432162,47.432162,
1,240.789264,87,0.000000,0.000000,
1,244.657225,85,0.000000,0.000000,
1,245.722269,86,0.000000,0.000000,
1,250.136420,91,0.000000,0.000000,
1,252.508269,52,63.570585,63.570585,
1,253.817095,55,62.792569,62.792569,
1,256.172357,90,0.000000,0.000000,
1,259.242192,92,0.000000,0.000000,
1,261.436748,95,0.000000,0.000000,
1,268.030934,56,68.369018,68.369018,
1,270.596156,60,72.338728,72.338728,
1,272.790090,51,68.325577,68.325577,
1,279.710223,57,68.530109,68.530109,
1,284.730867,36,67.781137,67.781137,
1,285.216855,47,66.655777,66.655777,
1,286.584196,39,71.746352,71.746352,
1,291.487430,62,70.079136,70.079136,
1,293.074558,30,66.432948,66.432948,
1,294.816723,61,68.315144,68.315144,
1,298.717685,105,0.000000,0.000000,
1,310.208737,49,81.044877,81.044877,
1,315.988340,68,76.790460,76.790460,
1,318.356989,59,70.188663,70.188663,
1,320.935182,116,0.000000,0.000000,
1,324.166453,77,63.556518,63.556518,
1,328.036796,118,0.000000,0.000000,
1,334.392850,78,66.719033,66.719033,
1,335.267991,65,68.380237,68.380237,
1,346.853113,121,0.000000,0.000000,
1,348.401661,123,0.000000,0.000000,
1,355.458124,73,67.864093,67.864093,
1,355.810772,122,0.000000,0.000000,
1,357.784186,88,62.087393,62.087393,
1,358.785240,124,0.000000,0.000000,
1,360.816393,133,0.000000,0.000000,
1,374.911272,81,82.363252,82.363252,
1,376.083624,140,0.000000,0.000000,
1,377.037800,82,81.697768,81.697768,
1,383.017440,136,0.000000,0.000000,
1,383.277814,66,68.865724,68.865724,
1,384.312189,141,0.000000,0.000000,
1,384.905246,94,85.671254,85.671254,
1,385.014951,139,0.000000,0.000000,
1,386.911176,96,70.557545,70.557545,
1,388.556580,101,63.399857,63.399857,
1,391.549009,84,77.751971,77.751971,
1,395.451567,144,0.000000,0.000000,
1,403.646446,104,74.457265,74.457265,
1,407.464841,109,67.913067,67.913067,
1,407.633712,100,74.838533,74.838533,
1,410.245546,80,72.221556,72.221556,
1,410.485069,79,76.002933,76.002933,
1,410.783347,113,52.891814,52.891814,
1,412.546853,98,62.183765,62.183765,
1,423.817925,97,52.789547,52.789547,
1,427.770198,108,46.526306,46.526306,
1,431.021372,126,52.607419,52.607419,
1,431.220963,158,0.000000,0.000000,
1,434.772947,154,0.000000,0.000000,
1,438.415879,156,0.000000,0.000000,
1,443.942283,112,38.245572,38.245572,
1,453.988434,160,0.000000,0.000000,
1,454.670286,114,50.466008,50.466008,
1,463.098166,162,0.000000,0.000000,
1,463.542489,135,47.018100,47.018100,
1,464.216052,132,39.103206,39.103206,
1,464.766473,129,38.927387,38.927387,
1,468.303409,167,0.000000,0.000000,
1,473.742184,172,0.000000,0.000000,
1,476.820369,120,42.924999,42.924999,
1,479.466566,171,0.000000,0.000000,
1,483.549773,175,0.000000,0.000000,
1,486.118310,149,38.690896,38.690896,
1,486.817210,169,0.000000,0.000000,
1,487.322394,145,39.319505,39.319505,
1,496.157404,130,69.632612,69.632612,
1,496.390977,146,46.563266,46.563266,
1,498.822451,148,46.215075,46.215075,
1,504.236932,180,0.000000,0.000000,
1,506.055839,131,59.609488,59.609488,
1,506.927270,115,69.182789,69.182789,
1,508.167628,157,44.447584,44.447584,
1,509.960657,152,45.597363,45.597363,
1,511.842662,181,0.000000,0.000000,
1,516.603416,138,62.424352,62.424352,
1,525.303314,161,32.430783,32.430783,
1,528.070619,143,32.225569,32.225569,
1,530.804360,163,30.417538,30.417538,
1,532.872404,186,0.000000,0.000000,
1,533.927842,190,0.000000,0.000000,
1,536.896100,164,32.261255,32.261255,
1,538.489871,173,29.081250,29.081250,
1,542.448611,165,30.521254,30.521254,
1,545.370412,142,30.282357,30.282357,
1,546.078260,196,0.000000,0.000000,
1,547.307939,168,27.713389,27.713389,
1,554.618956,179,28.484601,28.484601,
1,557.370784,197,0.000000,0.000000,
1,559.922812,176,40.339353,40.339353,
1,563.091524,166,25.643912,25.643912,
1,566.402654,177,30.902934,30.902934,
1,570.421611,202,0.000000,0.000000,
1,574.540637,203,0.000000,0.000000,
1,574.718192,204,0.000000,0.000000,
1,578.460045,182,23.419950,23.419950,
1,578.483401,174,25.013968,25.013968,
1,588.115260,187,13.755607,13.755607,
1,589.320615,205,0.000000,0.000000,
1,591.136884,189,16.009907,16.009907,
1,594.452494,208,0.000000,0.000000,
1,602.056579,195,9.145142,9.145142,
1,604.096492,212,0.000000,0.000000,
1,609.658704,193,10.238555,10.238555,
1,612.979308,201,7.719449,7.719449,
1,615.445197,215,0.000000,0.000000,
1,623.255201,191,0.000000,0.000000,
1,625.795569,200,8.637584,8.637584,
1,627.526441,188,3.222625,3.222625,
1,642.620013,214,0.000000,0.000000,
1,643.039008,213,0.000000,0.000000,
1,648.143466,231,0.000000,0.000000,
1,648.424628,232,0.000000,0.000000,
1,651.696654,192,0.000000,0.000000,
